2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | reportItem : ReportItemDTO [identifier=2021-08, grossSales=0.0, netSales=0.0, ordersCount=0]
2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | itemIndex : 8
2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | reportItem : ReportItemDTO [identifier=2021-08, grossSales=2760.966, netSales=409.99, ordersCount=4]
2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | orderDateString : 2021-08
2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | reportItem : ReportItemDTO [identifier=2021-08, grossSales=0.0, netSales=0.0, ordersCount=0]
2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | itemIndex : 8
2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | reportItem : ReportItemDTO [identifier=2021-08, grossSales=3377.449, netSales=526.621, ordersCount=5]
2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | orderDateString : 2021-08
2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | reportItem : ReportItemDTO [identifier=2021-08, grossSales=0.0, netSales=0.0, ordersCount=0]
2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | itemIndex : 8
2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | reportItem : ReportItemDTO [identifier=2021-08, grossSales=4483.979, netSales=330.82092, ordersCount=6]
2021-11-22 12:24:05.853  INFO 2132 --- [http-nio-8081-exec-7] c.s.a.util.MasterOrderReportServiceUtil  : MasterOrderReportServiceUtil | calculateSalesForReportData | orderDateString : 2021-08
